# SYNTHETIC FIXTURE — General English frequency dictionary (word<TAB>frequency)
the	23135851162
of	13151942776
and	12997637966
to	12136980858
a	9081174698
in	8469404971
is	4705743816
it	4659424263
that	4303912978
for	3578536254
from	3437184517
as	3325601901
are	3215682910
with	3183110675
his	2998634811
they	2690168783
at	2500000000
be	2400000000
this	2300000000
have	2200000000
or	2000000000
one	1900000000
had	1800000000
by	1700000000
word	1600000000
but	1500000000
not	1400000000
what	1300000000
all	1200000000
were	1100000000
we	1000000000
when	900000000
your	800000000
can	700000000
said	600000000
there	500000000
use	450000000
an	400000000
each	350000000
which	300000000
she	250000000
do	200000000
how	180000000
their	160000000
if	150000000
will	140000000
up	130000000
other	120000000
about	110000000
out	100000000
many	90000000
then	85000000
them	80000000
these	75000000
so	70000000
some	65000000
her	60000000
would	55000000
make	50000000
like	45000000
him	40000000
into	35000000
time	30000000
has	28000000
look	26000000
two	24000000
more	22000000
write	20000000
go	18000000
see	16000000
number	15000000
no	14000000
way	13000000
could	12000000
people	11000000
my	10000000
than	9500000
first	9000000
water	8500000
been	8000000
call	7500000
who	7000000
oil	6500000
its	6000000
now	5500000
find	5000000
long	4500000
down	4000000
day	3500000
did	3000000
get	2800000
come	2600000
made	2400000
may	2200000
part	2000000
general	3500000
health	3200000
medical	3100000
camps	2100000
camp	2200000
provide	2800000
provides	2400000
basic	2900000
check	3000000
checks	2100000
check-ups	1500000
checkups	1400000
age	3200000
groups	2800000
group	2900000
specialized	1800000
dental	2400000
eye	3300000
clinics	2200000
clinic	2400000
organized	2100000
periodically	1500000
transistor	1800000
transistors	1600000
pregnant	2100000
lactating	1600000
mothers	2500000
mother	2700000
support	3200000
nutritional	1800000
incubation	1600000
voluntary	2100000
blood	3500000
pressure	3400000
glucose	1800000
levels	2600000
level	2800000
regular	2700000
during	3100000
drives	1900000
conducted	2200000
rural	2300000
community	3100000
centers	2600000
center	2900000
doctors	2800000
doctor	3000000
nurse	2400000
nurses	2100000
patient	3200000
patients	3100000
treatment	2900000
care	3500000
service	3400000
services	3300000
hospital	3200000
system	3900000
systems	3600000
circuit	3200000
circuits	3000000
signal	3400000
signals	3200000
output	3100000
input	3100000
voltage	2900000
current	3000000
power	3500000
frequency	3100000
resistor	1900000
capacitor	1900000
inductor	1800000
amplifier	2100000
modulation	2000000
demodulation	1800000
bandwidth	2200000
impedance	2000000
model	3200000
modal	1500000
beat	2200000
attack	2500000
check-up	1600000
